12.04.2020, 2:18.6, 40
14.04.2020, 2:18.6, 30
17.04.2020, 2:17.0, 30
22.04.2020, 2:17.0, 30
25.04.2020, 2:16.8, 30
30.04.2020, 2:15.6, 30
01.05.2020, 2:19.8, 30
02.05.2020, 2:16.6, 20
04.05.2020, 2:16.4, 30
08.05.2020, 2:18.2, 30
12.05.2020, 2:14.5, 30
18.05.2020, 2:13.2, 30
25.04.2020, 2:16.8, 30
27.05.2020, 2:18.6, 30
28.05.2020, 2:16.9, 30
29.05.2020, 2:20.3, 20
30.05.2020, 2:20.0, 30
01.06.2020, 2:22.5, 40
03.06.2020, 2:19.8, 30
05.06.2020, 2:19.0, 30
08.06.2020, 2:16.8, 30
09.06.2020, 2:21.4, 45
15.06.2020, 2:15.4, 20
19.06.2020, 2:21.3, 30
20.06.2020, 2:22.7, 35
24.06.2020, 2:15.7, 30
26.06.2020, 2:17.0, 30
29.06.2020, 2:13.9, 30
10.07.2020, 2:22.9, 30
17.07.2020, 2:15.6, 30
20.07.2020, 2:17.1, 30
23.07.2020, 2:19.4, 30
31.07.2020, 2:13.3, 30
04.08.2020, 2:17.8, 30
06.08.2020, 2:19.9, 10
10.08.2020, 2:17.3, 30
11.09.2020, 2:19.3, 30
17.09.2020, 2:17.1, 30
20.09.2020, 2:21.0, 30
21.09.2020, 2:19.0, 20
23.09.2020, 2:20.0, 30
07.10.2020, 2:12.2, 30
15.10.2020, 2:18.5, 40
28.10.2020, 2:14.7, 30
01.11.2020, 2:15.0, 30
06.11.2020, 2:13.0, 30
08.11.2020, 2:10.8, 20
12.11.2020, 2:11.3, 30
21.11.2020, 2:11.7, 30
25.11.2020, 2:12.9, 30
01.12.2020, 2:15.5, 30
03.12.2020, 2:07.9, 10
10.12.2020, 2:17.1, 30
17.12.2020, 2:14.5, 20
18.12.2020, 2:11.4, 15
24.12.2020, 2:14.3, 40
31.12.2020, 2:13.7, 30
04.01.2021, 2:12.0, 30
14.01.2021, 2:14.1, 30
24.01.2021, 2:14.6, 30
13.02.2021, 2:11.9, 30
17.02.2021, 2:12.5, 20
23.02.2021, 2:12.3, 20
09.04.2021, 2:13.2, 30
18.04.2021, 2:14.4, 30
25.04.2021, 2:18.4, 30
07.05.2021, 2:12.5, 30
11.05.2021, 2:13.1, 20
21.05.2021, 2:11.2, 20
29.05.2021, 2:10.9, 30
01.06.2021, 2:13.1, 20
21.06.2021, 2:17.5, 30
14.08.2021, 2:14.9, 10
16.08.2021, 2:12.2, 10
19.08.2021, 2:15.9, 10
28.08.2021, 2:10.5, 20
02.09.2021, 2:12.0, 20
16.09.2021, 2:13.3, 20
02.10.2021, 2:10.8, 5
05.10.2021, 2:10.9, 20
06.10.2021, 2:11.0, 20
11.10.2021, 2:13.3, 30
21.10.2021, 2:13.5, 20
29.10.2021, 2:12.7, 15
30.10.2021, 2:15.0, 30
15.11.2021, 2:12.7, 30
27.11.2021, 2:14.7, 15
03.12.2021, 2:14.3, 30
18.12.2021, 2:15.3, 30
19.12.2021, 2:14.8, 30
21.12.2021, 2:17.3, 40
27.05.2022, 2:34.0, 5
04.06.2022, 2:22.2, 10
27.06.2022, 2:17.7, 10
07.07.2022, 2:13.8, 10
15.07.2022, 2:14.4, 20
24.09.2022, 2:14.4, 20
28.10.2022, 2:13.9, 20
04.11.2022, 2:16.0, 5
13.11.2022, 2:14.2, 20
19.11.2022, 2:16.4, 30
26.11.2022, 2:13.8, 30
27.11.2022, 2:17.0, 5
30.11.2022, 2:13.6, 20
17.12.2022, 2:15.3, 30
18.12.2022, 2:12.9, 30
24.12.2022, 2:13.0, 20
27.12.2022, 2:12.2, 30
06.01.2023, 2:11.6, 30
16.01.2023, 2:14.9, 30
23.01.2023, 2:12.8, 20
19.02.2023, 2:13.9, 20
24.02.2023, 2:14.9, 20
02.04.2023, 2:15.5, 30
23.09.2023, 2:18.7, 10
24.09.2023, 2:19.6, 10
26.09.2023, 2:21.7, 20
27.10.2023, 2:20.8, 20
30.10.2023, 2:17.3, 20
01.11.2023, 2:19.8, 20
12.11.2023, 2:18.3, 20
13.11.2023, 2:20.8, 20
19.11.2023, 2:17.8, 30
23.11.2023, 2:17.2, 20
30.11.2023, 2:15.5, 30
01.12.2023, 2:18.5, 30
04.12.2023, 2:16.3, 20
07.12.2023, 2:20.0, 30
11.12.2023, 2:16.2, 20
18.12.2023, 2:13.9, 20
22.12.2023, 2:16.8, 20
24.12.2023, 2:15.6, 20
27.12.2023, 2:17.6, 20
31.12.2023, 2:16.3, 20
09.01.2024, 2:14.5, 20
11.01.2024, 2:16.2, 20
16.01.2024, 2:17.5, 30
22.01.2024, 2:18.5, 30
28.01.2024, 2:16.2, 20
09.02.2024, 2:18.1, 30
11.02.2024, 2:19.9, 20
22.02.2024, 2:17.5, 20
09.03.2024, 2:18.6, 20
17.03.2024, 2:21.3, 20
23.03.2024, 2:21.9, 20
20.04.2024, 2:19.8, 20
15.06.2024, 2:22.9, 30
04.08.2024, 2:21.6, 30
06.09.2024, 2:20.8, 20
18.09.2024, 2:19.4, 20
02.12.2024, 2:20.9, 30
04.12.2024, 2:24.9, 30
11.12.2024, 2:19.5, 20
15.12.2024, 2:22.9, 30
17.12.2024, 2:19.1, 20
22.12.2024, 2:20.1, 30
25.12.2024, 2:22.9, 30
26.12.2024, 2:22.5, 30
